DateOnly,Ring Road_00,Ring Road_01,Ring Road_02,Ring Road_03,Ring Road_04,Ring Road_05,Ring Road_06,Ring Road_07,Ring Road_08,Ring Road_09,Ring Road_10,Ring Road_11,Ring Road_12,Ring Road_13,Ring Road_14,Ring Road_15,Ring Road_16,Ring Road_17,Ring Road_18,Ring Road_19,Ring Road_20,Ring Road_21,Ring Road_22,Ring Road_23,Center_00,Center_01,Center_02,Center_03,Center_04,Center_05,Center_06,Center_07,Center_08,Center_09,Center_10,Center_11,Center_12,Center_13,Center_14,Center_15,Center_16,Center_17,Center_18,Center_19,Center_20,Center_21,Center_22,Center_23
2022-01-01,50.833333333333336,53.23809523809524,55.57692307692308,55.52,50.73913043478261,54.125,53.80952380952381,50.77272727272727,54.60869565217392,50.36363636363637,51.24324324324324,52.3859649122807,52.0,53.75257731958763,51.97,51.2872340425532,51.94791666666666,51.614285714285714,50.87951807228916,52.22727272727273,53.41935483870968,53.0,53.583333333333336,58.0,51.81481481481482,49.38235294117647,50.89655172413793,50.62068965517241,45.2962962962963,44.75,53.54545454545455,54.88235294117647,47.66666666666666,48.69230769230769,50.44444444444444,46.85714285714285,48.41095890410959,47.0,49.68421052631579,49.46153846153846,52.42028985507246,50.9054054054054,48.44444444444444,50.46808510638298,46.6578947368421,49.72222222222222,48.42857142857143,52.0
2022-01-02,49.142857142857146,55.142857142857146,,55.4,57.0,55.8,53.526315789473685,53.32258064516129,50.10714285714285,52.82758620689656,52.9468085106383,51.63963963963964,52.21014492753624,51.97841726618705,51.73109243697479,50.20382165605096,51.82608695652174,51.630434782608695,52.1566265060241,53.29113924050633,53.1864406779661,51.94871794871795,52.06896551724138,55.285714285714285,44.333333333333336,48.083333333333336,61.5,48.66666666666666,57.333333333333336,47.2,47.44444444444444,44.76,45.46875,44.45,47.50684931506849,50.70754716981132,51.11940298507463,54.0,51.33628318584071,51.16176470588236,52.39333333333333,49.479674796747965,50.92105263157895,49.71604938271605,48.03333333333333,51.310344827586206,48.36111111111112,53.13333333333333
2022-01-03,57.0,38.66666666666666,57.22222222222222,52.0,58.25,49.5,48.054054054054056,51.80487804878049,53.29508196721312,51.5531914893617,51.45454545454545,52.685534591194966,52.221518987341774,51.88607594936709,51.80701754385965,50.12048192771084,50.90625,51.40268456375839,52.22307692307693,50.01030927835052,51.94117647058823,52.11111111111112,51.38095238095238,52.5,48.23076923076923,42.8,38.0,32.25,51.0,48.0,41.65625,49.75,48.75,48.5679012345679,49.05785123966942,48.56716417910448,50.70198675496689,51.20529801324504,50.5,51.909604519774014,51.85714285714285,49.58011049723757,49.36774193548387,53.10714285714285,50.4,50.27272727272727,47.15384615384615,38.16666666666666
2022-01-04,51.833333333333336,54.5,51.0,55.8,42.333333333333336,48.52941176470589,49.64814814814815,50.04166666666666,51.05952380952381,49.84057971014493,50.41830065359477,51.09090909090909,52.38,50.6243093922652,52.01775147928994,51.53374233128834,50.672413793103445,50.06949806949807,50.22613065326633,50.27272727272727,52.01315789473684,51.27777777777778,50.05,54.63636363636363,38.42857142857143,46.333333333333336,34.666666666666664,41.36363636363637,45.75,45.51515151515152,41.94545454545455,50.33505154639175,47.97727272727273,46.12037037037037,47.03030303030303,50.94915254237288,47.01948051948052,46.66470588235294,48.06936416184971,48.70792079207921,47.91379310344828,47.35652173913044,46.09659090909091,47.675438596491226,47.87301587301587,46.22857142857143,49.25925925925926,53.19047619047619
2022-01-05,52.05263157894737,45.2,56.0,37.66666666666666,44.8,46.0,49.66129032258065,50.31410256410256,50.36875,50.51655629139073,51.75816993464052,50.89349112426036,51.67455621301775,50.09883720930232,50.94011976047904,50.917647058823526,49.948356807511736,49.55,49.52475247524752,50.9609375,51.15384615384615,49.80952380952381,54.46341463414634,55.80952380952381,50.869565217391305,51.66666666666666,46.5,45.0,52.0,37.096774193548384,44.8125,49.196969696969695,50.63924050632912,44.8780487804878,48.25,49.70253164556962,47.62352941176471,50.16666666666666,47.56551724137931,49.1301775147929,46.91743119266055,46.84320557491289,49.76165803108808,52.50819672131148,45.98412698412698,47.89473684210526,48.26315789473684,50.0
2022-01-06,57.36363636363637,53.66666666666666,51.0,53.0,46.75,47.47826086956522,49.60344827586207,50.333333333333336,49.98255813953488,50.79054054054054,49.81617647058823,51.37974683544304,50.54437869822485,50.50295857988166,51.08379888268156,50.2962962962963,49.78367346938776,49.50751879699248,51.0625,50.74834437086093,49.8125,51.326530612244895,54.21951219512195,52.88235294117647,44.07692307692308,33.142857142857146,47.0,47.5,62.625,37.375,45.10344827586207,47.42926829268293,47.0,45.50314465408805,46.30645161290322,46.08387096774194,49.13291139240506,48.6,46.71621621621622,47.669950738916256,47.418103448275865,48.64179104477612,45.65656565656565,51.0,48.11111111111112,46.23684210526316,47.36363636363637,42.892857142857146
2022-01-07,52.47058823529412,51.75,39.0,53.0,51.42857142857143,53.375,48.333333333333336,50.55625,50.65584415584416,50.6025641025641,50.2824427480916,50.96026490066225,50.734375,51.0,51.055813953488375,50.42458100558659,50.721739130434784,49.5375,49.76699029126213,51.75886524822696,51.04,50.86274509803921,51.90243902439025,52.90625,58.61904761904762,41.0,52.16666666666666,43.42857142857143,52.2,46.0,42.05,48.30348258706468,48.526315789473685,44.64615384615384,45.71511627906977,45.55681818181818,46.28651685393258,45.561797752808985,46.688235294117646,48.62085308056872,50.83884297520661,47.69498069498069,49.125,48.04237288135593,49.41666666666666,46.80952380952381,54.310344827586206,47.74193548387097
2022-01-08,56.95454545454545,50.3,52.8,53.0,45.333333333333336,54.61538461538461,47.89655172413793,49.80851063829788,52.22666666666667,52.067961165048544,50.87903225806452,51.68707482993197,50.42857142857143,50.53932584269663,51.041916167664674,50.810810810810814,51.76973684210526,50.53787878787879,50.68141592920354,52.302083333333336,51.81818181818182,51.63636363636363,53.14705882352941,52.95652173913044,45.48,47.42857142857143,48.625,50.333333333333336,49.0625,52.43478260869565,42.84848484848485,44.73913043478261,43.85526315789474,48.63541666666666,45.98969072164948,52.023809523809526,52.96195652173913,48.04379562043796,47.908396946564885,51.05,48.9873417721519,47.21052631578947,48.680473372781066,48.77685950413223,50.23287671232877,48.48648648648648,46.96551724137931,45.6578947368421
2022-01-09,57.42857142857143,56.66666666666666,55.0,55.66666666666666,51.0,50.5,52.08695652173913,49.23255813953488,49.76923076923077,50.78787878787879,50.958333333333336,,,,,,,,,,,,,,47.54545454545455,44.333333333333336,50.30769230769231,49.5,54.47058823529412,51.64705882352941,44.03125,49.083333333333336,47.08888888888889,43.59090909090909,50.42857142857143,,,,,,,,,,,,,
2022-01-24,,,,,,,,,,,,,52.204081632653065,50.726618705035975,51.05343511450382,50.191489361702125,51.04455445544554,49.35021097046413,50.01129943502825,50.61111111111112,49.57534246575342,51.25,53.61904761904762,51.53333333333333,,,,,,,,,,,,,48.22727272727273,48.48076923076923,44.95364238410596,50.1027027027027,51.43303571428572,50.13768115942029,50.366863905325445,47.8125,49.74647887323944,45.56,43.80769230769231,44.76470588235294
